City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
adamstown,-25.066,-130.1015,22.41,63,100,8.09,PN,1683871865
hamilton,39.1834,-84.5333,20.55,89,0,0.0,US,1683871840
margaret river,-33.95,115.0667,18.0,56,93,6.39,AU,1683872039
sao tome,0.3365,6.7273,27.56,81,66,2.84,ST,1683872039
nguruka,-5.1092,31.0419,20.02,86,90,2.03,TZ,1683871820
saipan,15.1355,145.701,33.39,100,40,4.63,MP,1683872039
albany,42.6001,-73.9662,14.74,73,56,1.34,US,1683872040
port-aux-francais,-49.35,70.2167,8.45,90,99,20.34,TF,1683872040
waitangi,-43.9535,-176.5597,11.1,65,70,13.45,NZ,1683872040
grytviken,-54.2811,-36.5092,-3.91,68,1,2.23,GS,1683872040
ulsteinvik,62.3432,5.8487,12.09,95,100,0.89,NO,1683872040
imatra,61.1719,28.7524,16.21,55,33,3.59,FI,1683872041
ribeira grande,38.5167,-28.7,15.43,77,20,4.12,PT,1683872041
utrik,11.2278,169.8474,27.32,83,66,7.37,MH,1683872041
bilibino,68.0546,166.4372,1.13,99,100,1.3,RU,1683872041
udachny,66.4167,112.4,6.36,41,100,7.39,RU,1683872042
leua,48.2156,18.6071,10.9,83,100,4.11,SK,1683872042
bethel,41.3712,-73.414,15.78,75,0,2.06,US,1683872042
undurkhaan,47.3194,110.6556,13.85,14,4,2.5,MN,1683872042
constantia,44.1833,28.65,13.38,59,83,6.66,RO,1683872043
atafu village,-8.5421,-172.5159,28.77,75,28,5.36,TK,1683872043
tolanaro,-25.0319,46.9987,25.08,74,87,4.32,MG,1683872043
olonkinbyen,70.9221,-8.7187,0.71,93,74,8.21,SJ,1683872043
nadi,-17.8,177.4167,27.0,65,20,3.09,FJ,1683872043
petropavlovsk-kamchatsky,53.0452,158.6483,5.33,70,75,5.0,RU,1683872044
carnarvon,-24.8667,113.6333,25.12,56,0,5.45,AU,1683872044
newman,37.3138,-121.0208,17.38,80,0,0.89,US,1683872044
port mathurin,-19.6833,63.4167,25.53,77,66,9.43,MU,1683872044
egilsstadir,65.2653,-14.3948,8.95,71,75,7.2,IS,1683872045
siquijor,9.2142,123.515,29.58,73,100,3.5,PH,1683872045
idri,27.5,13.2667,21.19,44,64,6.4,LY,1683872045
anadyr,64.75,177.4833,2.28,80,0,2.0,RU,1683872045
clearwater,27.9659,-82.8001,26.06,73,0,6.71,US,1683871862
iqaluit,63.7506,-68.5145,-7.15,93,75,1.03,CA,1683872046
alesund,62.4723,6.1549,12.09,94,75,1.03,NO,1683872046
bonanza,14.0289,-84.591,22.69,96,92,0.38,NI,1683872046
saint-joseph,-21.3667,55.6167,27.21,72,98,4.41,RE,1683872046
fort bragg,35.139,-79.006,18.23,80,0,2.57,US,1683872047
avarua,-21.2078,-159.775,25.03,83,75,6.69,CK,1683871865
yellowknife,62.456,-114.3525,10.31,61,20,2.24,CA,1683872047
edinburgh of the seven seas,-37.0676,-12.3116,17.21,89,94,12.65,SH,1683872047
mount gambier,-37.8333,140.7667,14.89,56,5,2.59,AU,1683871929
fort mcmurray,56.7268,-111.381,14.77,44,25,3.6,CA,1683871888
luderitz,-26.6481,15.1594,14.37,75,97,12.01,NA,1683872048
nagqu,31.5,92.0,2.08,24,100,4.01,CN,1683872048
gurupa,-1.405,-51.64,23.05,99,100,2.49,BR,1683872048
usinsk,65.9939,57.5281,0.65,100,100,6.22,RU,1683872048
laguna,38.421,-121.4238,17.28,72,0,2.06,US,1683872049
ilulissat,69.2167,-51.1,-2.99,86,100,4.12,GL,1683872049
tiksi,71.6872,128.8694,-9.41,78,88,7.37,RU,1683872049
iskateley,67.6803,53.1512,0.76,100,100,3.0,RU,1683872049
bredasdorp,-34.5322,20.0403,12.26,73,76,7.03,ZA,1683872049
west island,-12.1568,96.8225,29.99,79,75,6.17,CC,1683872050
swakopmund,-22.6833,14.5333,14.58,91,100,1.33,NA,1683872050
enewetak,11.3474,162.3373,27.65,83,67,6.88,MH,1683872050
puerto pilon,9.3644,-79.7933,27.27,82,36,1.79,PA,1683872050
blackmans bay,-43.0167,147.3167,15.07,57,46,2.67,AU,1683872050
la passe,45.5549,-0.8967,11.66,85,79,2.49,FR,1683872051
ust-nera,64.5667,143.2,5.01,57,99,1.62,RU,1683872051
aasiaat,68.7098,-52.8699,-5.38,96,100,3.16,GL,1683872051
puerto natales,-51.7236,-72.4875,6.65,76,76,4.35,CL,1683872051
the pas,53.8251,-101.2541,15.01,55,75,2.06,CA,1683872052
tocopilla,-22.092,-70.1979,18.42,72,19,0.56,CL,1683872052
mil'kovo,55.6078,37.7956,17.22,58,65,1.98,RU,1683872053
shache,38.4167,77.2406,26.53,7,95,1.36,CN,1683872053
isafjordur,66.0755,-23.124,4.71,98,100,2.63,IS,1683872054
tobelo,1.7284,128.0095,29.99,71,91,0.49,ID,1683872054
umm kaddadah,13.6017,26.6876,32.49,30,91,3.41,SD,1683872054
hermanus,-34.4187,19.2345,10.45,77,67,7.49,ZA,1683872054
port lincoln,-34.7333,135.8667,15.9,59,23,4.3,AU,1683871822
ancud,-41.8697,-73.8203,12.19,97,100,1.99,CL,1683872055
kapuskasing,49.4169,-82.4331,12.05,93,40,3.09,CA,1683872055
svetlyy,54.675,20.1347,14.03,65,6,4.14,RU,1683872055
brisas de zicatela,15.8369,-97.0419,27.88,75,62,4.69,MX,1683872056
puerto ayora,-0.7393,-90.3518,24.75,100,28,2.7,EC,1683872056
ushuaia,-54.8,-68.3,7.81,76,100,7.72,AR,1683872056
pangoa,-12.1167,-73.0,19.02,99,97,0.95,PE,1683872057
noshiro,40.2039,140.0242,16.46,54,4,4.32,JP,1683872057
chokwe,-24.5333,32.9833,21.96,67,0,3.6,MZ,1683872057
mar del plata,-38.0023,-57.5575,10.61,87,0,2.06,AR,1683871996
geraldton,-28.7667,114.6,24.23,46,44,6.17,AU,1683872057
vilyuysk,63.7553,121.6247,8.2,35,0,1.92,RU,1683872058
uturoa,-16.7333,-151.4333,24.66,90,100,9.59,PF,1683872058
happy valley-goose bay,53.3168,-60.3315,-0.83,64,75,0.0,CA,1683872058
nyurba,63.2842,118.3319,8.8,36,13,3.52,RU,1683872058
wailua homesteads,22.0669,-159.378,22.24,87,75,5.66,US,1683872059
kani keli,-12.9536,45.1033,28.59,71,40,1.69,YT,1683872059
lospalos,-8.5186,127.0025,25.33,60,70,5.38,TL,1683872059
kitimat,54.0524,-128.6534,14.21,67,100,1.52,CA,1683871967
kilju,40.9642,129.3278,19.33,54,100,3.01,KP,1683872059
cabedelo,-6.9811,-34.8339,25.37,79,64,3.57,BR,1683872060
